Bands,Genres
Adept,"['Metalcore', 'Post-hardcore']"
Aetherian,[]
Alestorm,"['Pirate Metal', 'Folk Metal', 'Power Metal', 'Heavy Metal', 'Hard Rock']"
Amaranthe,"['Power Metal', 'Metalcore', 'Melodic Death Metal', 'Symphonic Metal']"
Amon Amarth,['Melodic Death Metal']
Arch Enemy,['Melodic Death Metal']
Architects,[]
As I Lay Dying,['Metalcore']
Asking Alexandria,"['Metalcore', 'Heavy Metal', 'Post-hardcore', 'Electronicore', 'Hard Rock']"
Attack Attack!,"['Metalcore', 'Electronicore', 'Post-hardcore']"
At The Gates,"['Melodic Death Metal', 'Death Metal']"
August Burns Red,"['Metalcore', 'Melodic Metalcore', 'Christian Metal']"
Avenged Sevenfold,"['Heavy Metal', 'Alternative Metal', 'Hard Rock', 'Metalcore', 'Progressive Metal']"
BABYMETAL,"['Kawaii Metal', 'Heavy Metal', 'J-pop', 'Power Metal', 'Alternative Metal']"
Before The Dawn,[]
Be'lakor,"['Melodic Death Metal', 'Progressive Death Metal']"
Black Sabbath,['Heavy Metal']
Blinded Colony,['Melodic Death Metal']
Blind Guardian,"['Power Metal', 'Progressive Metal', 'Symphonic Metal', 'Speed Metal', 'Thrash Metal']"
Bring Me the Horizon,"['Metalcore', 'Alternative Metal', 'Alternative Rock', 'Pop Rock', 'Electronic Rock', 'Deathcore']"
Bullet For My Valentine,"['Metalcore', 'Heavy Metal', 'Thrash Metal', 'Hard Rock']"
Bury Tomorrow,"['Metalcore', 'Melodic Metalcore', 'Post-hardcore']"
Caliban,['Metalcore']
Children Of Bodom,"['Melodic Death Metal', 'Power Metal', 'Melodic Death Metal']"
Confide,"['Metalcore', 'Post-hardcore', 'Screamo', 'Deathcore']"
Crown The Empire,"['Metalcore', 'Post-hardcore', 'Progressive Rock', 'Hard Rock']"
Darkest Hour,"['Melodic Death Metal', 'Metalcore']"
Dark Oath,[]
Dark Tranquillity,"['Melodic Death Metal', 'Gothic Metal']"
A Day To Remember,"['Metalcore', 'Pop Punk', 'Post-hardcore', 'Alternative Rock']"
Dead by April,"['Metalcore', 'Electronicore', 'Alternative Metal', 'Post-hardcore']"
Deadlock,"['Melodic Death Metal', 'Metalcore']"
Disarmonia Mundi,"['Melodic Death Metal', 'Progressive Metal', 'Technical Death Metal']"
Disturbed,"['Heavy Metal', 'Hard Rock', 'Alternative Metal', 'Nu Metal']"
Dope,"['Nu Metal', 'Industrial Metal', 'Alternative Metal']"
DragonForce,"['Power Metal', 'Speed Metal']"
Drowning Pool,"['Alternative Metal', 'Hard Rock', 'Post-grunge', 'Heavy Metal', 'Nu Metal']"
Eluveitie,"['Folk Metal', 'Melodic Death Metal', 'Celtic Metal']"
Ensiferum,"['Folk Metal', 'Melodic Death Metal', 'Power Metal', 'Viking Metal']"
Epica,['Symphonic Metal']
Escape the Fate,"['Post-hardcore', 'Hard Rock', 'Metalcore', 'Screamo', 'Emo']"
Feed Her to the Sharks,['Metalcore']
Five Finger Death Punch,"['Heavy Metal', 'Groove Metal', 'Alternative Metal', 'Hard Rock', 'Thrash Metal']"
Follow My Lead,"['Metalcore', 'Nu Metalcore', 'Post-hardcore']"
Freedom Call,"['Power Metal', 'Symphonic Metal', 'Heavy Metal']"
Ghost,[]
Ghost Brigade,"['Melodic Death Metal', 'Doom Metal', 'Post-metal', 'Alternative Metal']"
The Ghost Inside,"['Metalcore', 'Melodic Hardcore']"
Godsmack,"['Heavy Metal', 'Nu Metal', 'Alternative Metal', 'Hard Rock']"
Gojira,"['Technical Death Metal', 'Progressive Metal', 'Groove Metal', 'Post-metal']"
HammerFall,"['Heavy Metal', 'Power Metal']"
Heaven Shall Burn,"['Melodic Death Metal', 'Metalcore', 'Deathcore']"
Iced Earth,"['Heavy Metal', 'Power Metal', 'Thrash Metal', 'Speed Metal']"
In Flames,"['Alternative Metal', 'Melodic Death Metal']"
In Mourning,"['Melodic Death Metal', 'Progressive Metal', 'Gothic Metal', 'Death-doom']"
Insomnium,['Melodic Death Metal']
Iron Maiden,['Heavy Metal']
Kalmah,"['Melodic Death Metal', 'Power Metal']"
Korn,"['Nu Metal', 'Alternative Metal']"
Korpiklaani,['Folk Metal']
Lamb of God,"['Groove Metal', 'Metalcore', 'Thrash Metal', 'Death Metal']"
Megadeth,"['Thrash Metal', 'Heavy Metal', 'Speed Metal']"
Memphis May Fire,"['Metalcore', 'Post-hardcore', 'Alternative Metal', 'Hard Rock', 'Nu Metal', 'Southern Rock']"
Metallica,"['Heavy Metal', 'Thrash Metal', 'Hard Rock', 'Speed Metal']"
Miss May I,"['Metalcore', 'Thrash Metal', 'Melodic Death Metal']"
Moonspell,"['Gothic Metal', 'Black Metal', 'Doom Metal', 'Melodic Death Metal']"
More Than a Thousand,"['Metalcore', 'Post-hardcore', 'Alternative Metal']"
Motionless In White,"['Metalcore', 'Gothic Metal', 'Industrial Metal']"
Motorhead,"['Heavy Metal', 'Rock And Roll', 'Hard Rock', 'Speed Metal']"
Mudvayne,"['Heavy Metal', 'Nu Metal', 'Alternative Metal', 'Progressive Metal', 'Progressive Rock', 'Hard Rock']"
Ne Obliviscaris,"['Extreme Metal', 'Progressive Metal']"
Nightwish,"['Symphonic Metal', 'Power Metal', 'Folk Metal', 'Gothic Metal']"
Oceans Ate Alaska,"['Metalcore', 'Progressive Metalcore', 'Post-hardcore']"
Of Mice & Men,"['Metalcore', 'Hard Rock', 'Post-hardcore', 'Nu Metal', 'Alternative Metal']"
Omnium Gatherum,['Melodic Death Metal']
