Bands,Genres
4 Non Blondes,['Alternative Rock']
55 Escape,[]
5 Star Grave,[]
Abandon All Ships,"['Metalcore', 'Electronicore']"
AC/DC,"['Hard Rock', 'Blues Rock', 'Rock And Roll', 'Heavy Metal']"
Aerosmith,"['Hard Rock', 'Blues Rock', 'Rock And Roll', 'Glam Metal', 'Heavy Metal']"
Affiance,['Metalcore']
Alice In Chains,"['Grunge', 'Alternative Metal', 'Heavy Metal', 'Sludge Metal', 'Hard Rock']"
All That Remains,"['Heavy Metal', 'Hard Rock', 'Metalcore', 'Melodic Death Metal']"
Alphaville,"['Synth-pop', 'New Wave']"
The Amity Affliction,"['Metalcore', 'Post-hardcore', 'Melodic Metalcore', 'Emo']"
Anberlin,"['Alternative Rock', 'Emo']"
Artic Monkeys,"['Indie Rock', 'Garage Rock', 'Post-punk Revival', 'Psychedelic Rock', 'Alternative Rock', 'Post-britpop']"
Atreyu,"['Metalcore', 'Post-hardcore', 'Alternative Metal']"
Beartooth,"['Hardcore Punk', 'Metalcore', 'Melodic Hardcore', 'Hard Rock']"
Billy Talent,"['Punk Rock', 'Alternative Rock', 'Post-hardcore', 'Pop Punk']"
Breaking Benjamin,"['Hard Rock', 'Post-grunge', 'Alternative Metal']"
Comeback Kid,"['Hardcore Punk', 'Melodic Hardcore']"
Crossfade,"['Alternative Rock', 'Alternative Metal', 'Post-grunge', 'Nu Metal']"
Cult To Follow,[]
Cypress Hill,"['Hip Hop', 'Latin Hip Hop', 'West Coast Hip Hop', 'Rap Rock']"
Egypt Central,"['Alternative Metal', 'Nu Metal', 'Post-grunge', 'Hard Rock']"
Evanescence,"['Alternative Metal', 'Nu Metal', 'Gothic Metal', 'Gothic Rock', 'Hard Rock', 'Symphonic Metal']"
Falling In Reverse,"['Post-hardcore', 'Metalcore', 'Hard Rock', 'Pop Punk', 'Rap Metal', 'Electronica']"
Fall Out Boy,"['Pop Punk', 'Pop Rock', 'Pop', 'Alternative Rock', 'Emo', 'Emo Pop']"
Fireflight,"['Christian Rock', 'Hard Rock', 'Alternative Metal', 'Electropop']"
Foo Fighters,"['Alternative Rock', 'Post-grunge', 'Hard Rock', 'Grunge', 'Pop Rock']"
Fort Minor,"['Alternative Hip Hop', 'Rap Rock']"
Franz Ferdinand,"['Indie Rock', 'Post-punk Revival', 'Dance-punk', 'Dance-rock', 'Art Rock']"
Good Charlotte,"['Pop Punk', 'Alternative Rock', 'Punk Rock', 'Emo', 'Pop Rock']"
Gorillaz,"['Alternative Rock', 'Art Pop', 'Electronic', 'Hip Hop', 'Trip Hop']"
Green Day,"['Punk Rock', 'Pop Punk', 'Alternative Rock']"
Guano Apes,"['Alternative Rock', 'Nu Metal', 'Funk Metal']"
Guns N' Roses,"['Hard Rock', 'Heavy Metal']"
Guster,"['Rock', 'Alternative Rock', 'Jangle Pop', 'Indie Rock']"
Hollywood Undead,"['Rap Rock', 'Nu Metal', 'Hard Rock', 'Rap Metal']"
Hoobastank,"['Alternative Rock', 'Nu Metal', 'Post-grunge', 'Funk Metal', 'Ska Punk']"
Incubus,"['Alternative Rock', 'Alternative Metal', 'Funk Rock', 'Funk Metal']"
Infected Mushroom,"['Psychedelic Trance', 'Electro House', 'Electronica', 'Dream Trance', 'Electronic Rock', 'Glitch Hop', 'Classical Music', 'Industrial', 'Experimental', 'Progressive Psytrance']"
Jimi Hendrix,"['Rock', 'Psychedelic Rock', 'Hard Rock', 'Blues', 'R&b']"
Jimmy Eat World,"['Alternative Rock', 'Emo Pop', 'Emo', 'Power Pop', 'Pop Punk']"
Judas Priest,['Heavy Metal']
The Killers,"['Alternative Rock', 'Indie Rock', 'Post-punk Revival', 'New Wave', 'Heartland Rock', 'Pop Rock']"
Killswitch Engage,['Metalcore']
The kooks,"['Indie Rock', 'Post-punk Revival', 'Britpop', 'Alternative Rock']"
Led Zeppelin,"['Hard Rock', 'Blues Rock', 'Folk Rock', 'Heavy Metal']"
Limp Bizkit,"['Nu Metal', 'Rap Rock', 'Rap Metal']"
Linkin Park,"['Alternative Rock', 'Nu Metal', 'Alternative Metal', 'Rap Rock', 'Electronic Rock', 'Pop Rock']"
Marilyn Manson,"['Industrial Metal', 'Industrial Rock', 'Alternative Metal', 'Hard Rock', 'Shock Rock']"
Matchbox Twenty,"['Alternative Rock', 'Post-grunge', 'Pop Rock']"
Muse,"['Alternative Rock', 'Progressive Rock', 'Space Rock', 'Hard Rock', 'Art Rock', 'Electronic Rock']"
My Chemical Romance,"['Alternative Rock', 'Emo', 'Pop Punk', 'Post-hardcore', 'Punk Rock', 'Hard Rock']"
Nickelback,"['Post-grunge', 'Hard Rock', 'Pop Rock', 'Alternative Metal', 'Alternative Rock']"
Nine Lashes,"['Christian Rock', 'Alternative Rock', 'Alternative Metal', 'Hard Rock', 'Christian Metal', 'Nu Metal']"
Nirvana,"['Grunge', 'Alternative Rock', 'Punk Rock', 'Hard Rock']"
Northlane,"['Metalcore', 'Progressive Metal', 'Alternative Metal', 'Djent']"
Oasis,"['Rock', 'Britpop']"
The Offspring,"['Punk Rock', 'Skate Punk', 'Pop Punk', 'Alternative Rock', 'Melodic Hardcore']"
Papa Roach,"['Hard Rock', 'Alternative Rock', 'Alternative Metal', 'Nu Metal', 'Rap Metal']"
Pierce The Veil,"['Post-hardcore', 'Pop Punk', 'Experimental Rock', 'Emo', 'Progressive Rock', 'Metalcore']"
Pink Floyd,"['Progressive Rock', 'Art Rock', 'Experimental Rock', 'Psychedelia', 'Space Rock']"
P.O.D.,"['Christian Metal', 'Nu Metal', 'Rap Metal', 'Alternative Metal', 'Rapcore', 'Hard Rock']"
